product Id,Main Category,Category 1,Category 2,Category 3,Category 4,Category 5,Brand,Product Name,Product Information,Car brand,Car model,Car year,url,Main Price,Discount Price,Product Discription,picture 1,picture 2,picture 3,picture 4,picture 5,picture 6,picture 7,picture 8,picture 9,picture 10,picture 11,picture 12,picture 13,picture 14,picture 15,picture 16,picture 17,source
33009,Nye produkter,,,,,,SounDigital,SounDigital 35000.1 EVOX 1ohm - NY!,"
    SounDigital mono forsterker",SounDigital,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=33009>,39 900.00,,"EVO X Line bringer den nyeste teknologien i en kompakt design med komponenter av høyeste kvalitet. Fra en banebrytende teknologi, brakte SounDigital til billydforsterkere noe som ikke hadde blitt utforsket ennå. Den termiske koblingen gjennom RTGP-systemet. Det eksklusive RTGP-systemet (Thermal Recovery for Power Generation) sikrer SoundDigital-produkter med både høyere termisk effektivitet og robusthet med høyere stabilitet. 

35000.1 EVOX – 1 ohm 
Power @ 12.6V @ 4ohm: 1 X 15246 WRMS 
Power @ 12.6V @ 2ohm: 1 X 23100 WRMS 
Power @ 12.6V @ 1ohm: 1 X 35000 WRMS 
Power @ 14.4V @ 4ohm: 1 X 16999 WRMS 
Power @ 14.4V @ 2ohm: 1 X 25757 WRMS 
Power @ 14.4V @ 1ohm: 1 X 39025 WRMS 
Operating Voltage: 8V – 16V 
Current Draw (Music): 1715 A 
Current Draw (Max): 3429 A 
Recommended Fuse (Music): 3500 A 
Total Efficiency: 81% 
Damping Factor: 200 
Frequency Response (-3dB): 5Hz – 500 Hz 
SNR: 76dB 
Crossover HPF: 5Hz – 30Hz 
Crossover LPF: 50Hz – 500Hz 
THD + N (10% Rated Power): 0.3% 
Product Dimensions: 86.3 x 22.5 x 7.1 cm.",./images_produkt/33009.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
16263,Høyttalere,Spesialtilpasset,,,,,,FOCAL P60 Limited Edition Porsche - NY!,"
     ",,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=16263>,39 900.00,,"I anledning 60 års jubileumet for Porsche 911 lanserer Focal P60 Limited Edition. Kombiner den ultimate kjøregleden med den ultimate musikkopplevelsen. 

Settet leveres med serienummer inngravert på alumimiumsplate. 

P60 leveres i eksklusiv koffert som er designet etter interiøret i 60 års jubileumsmodellen. 
Nydelig koffert i skinn og tre, interiøret er dekket med fløyel. 
Kofferten er håndlaget av LANGALERIE verkstedet. 
Etter installasjon kan koffert brukes og passer perfekt i front bagasjerom under panseret i 911 (992) 

Dette Plug & Play settet er kompatibelt med Porsche® 911 (992)# kjøretøyer, og er designet for å erstatte bilens fabrikksystem med et ekte hi-fi system som leverer lyden av fortreffelighet. 

Eksklusive Focal teknologier, enkel å installere i den originale plassen, begrenset produksjon med bare 911 sett utgitt: P60 Limited Edition er et unikt sett. 

 

 

P60 Limited Edition er laget på Focals fabrikk, og er et høykvalitets Plug & Play sett til bil, kompatibel med Porsche® 911 (992)*-kjøretøyer. 

Sette innholder to basshøyttalere og tre mellomtoner, utstyrt med en ""W""-formet membran samt et par berylliumdiskanter med omvendt dome. Disse eksklusive teknologiene garanterer et enestående detaljnivå, ufarget lyd, kraftig og dynamisk bass samt et enda større lydbilde. Den er enkel å installere i kjøretøyets originale plasseringer (fronthøyttalere inkludert sentralhøyttaler). 

#+ Porsche Panamera (971 / 2017 - opp), Porsche Cayenne (PO536 / 2018 - opp), Porsche Taycan (2020 - opp) 

Dette settet kan også monteres på den gamle modellen type 991, Macan og Cayman Boxter men en tilpasning av senterhøyttaler er nødvendig fordi den er 3"" og ikke 4"". 

- Utviklet og produsert i Frankrike 
- Eksklusiv Focal teknologi 
- Effekt: 200W basshøyttaler, 100W mellomtone, 100W diskanthøyttaler 
- Enkel å installere på original plassering 
- Focal lydsignatur 
- Begrenset opplag ",./images_produkt/16263.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
50050,Høyttalere,Spesialtilpasset,,,,,Mercedes,"GLADEN SoundUP Mercedes, GA-SU-MB-205-BASIC","
    Plug & Play oppgradering",Mercedes,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=50050>,14 990.00,,"SOUNDUP GA-SU-MB-205-BASIC 

SoundUp-pakke for alle Mercedes C, E GLC-modeller eller lignende. 

SoundUp pakken inneholder et 3 veis fronthøyttalersystem, en 6 kanals DSP-forsterker, et kjøretøyspesifikt plug & play kabelesett og dempingsmateriale for å forhindre vibrasjon på høyttalerens monteringsplasser. 

Etter installasjonen kan du bruke vår DSP-programvare til å laste inn en forhåndskonfigurert og kjøretøyspesifikk DSP-innstilling. Dette kan justeres etter din personlige musikksmak. 

Plug & play kabelsettet tillater en ikke-destruktiv installasjon slik at SoundUp pakkene også er egnet for leasede kjøretøy. 

For kjøretøy uten ASD og uten fabrikklydsystem 

- Perfekt innstilt lydsystem for din Mercedes gjennom nyeste DSP teknologi. 
- Dynamisk lyd gjennom svært effektive høyttalere. 
- Optimalisering av den originale bakhøyttaleren via DSP. 

 

 ",./images_produkt/50050.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
17449,Basser,Rekoning,,,,,Ground Zero,Ground Zero rekoningskit til GZPW 18SPL+20%,"
     ",Ground Zero,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=17449>,7 500.00,,"sett med: 
Støvhette 
Spider/svingspole 
Membran/oppheng 

	
	
 



	",,,,,,,,,,,,,,,,,,www.iceaudio.no
30064,Basser,8,,,,,DD Audio,DD Audio mini Z D2,"
    DD Audio 8"" subwoofer",DD Audio,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=30064>,24 900.00,,"In early 2005 the first ever iteration of the Z motor was launched. It forever changed the way people thought of a high-performance subwoofer and pushed the limits of car audio to new extremes. Over the years, many versions of Zs have been produced and this spirit of experimentation has driven us to constantly improve and innovate. 
The Z2.5 or Mini Z is the newest member of the Z ranks. It utilizes a smaller but no less impressive 13 lens grade N48 neodymium open motor design just like its big brothers the Z3 and Z4. Only available in an 8"" format, this driver is designed to be the most sonically accurate high output small diameter sub on the planet. 
The USA steel motor parts are machined in our hometown of OKC, and all the moving parts are USA made from the finest materials and manufacturing methods available. 
The current Zs feature several design improvements over previous models. We were able to overcome structural saturation levels and increase peak and total flux levels by allowing more energy to flow through our magnetic lens architecture via more efficient flux paths, closer alignment of the lenses and converging flux lines. 
The Free Flow Cooling System was improved by incorporating longitudinal pole vents to increase airflow to the coil former. Then we increased thermal mass and used heat absorbing coatings in target areas to aid in long term heat dissipation. 
We also implemented geometric changes allowing for increased maximum excursion capability and a wider range of system design configurations. 
The Zs striking cosmetics feature a black oxide coating combined with red anodized accents. The motors are also adorned with custom CNC engraved designs, and every motor is engraved with its production number, making each sub a one of a kind. 
You will notice the standard TS parameters are missing for the Z subs. This omission is on purpose because each Z is custom built to order which makes for Zillions of possible parameter sets making one static set of specs very prone to inaccuracy. The reason we build Zs CTO is it gives a system designer the utmost freedom to design for their specific application. The collection of Z subs are the moZt astounding sounding, moZt aurally accurate, and absolutely the moZt loudest subwoofer ever produced. 
The Z Series subs also feature our Evolution Subwoofer Package (ESP). ESP equipped drivers sport larger diameter suspensions and deeper frames than standard subs and exclusive surround and cone designs. ESP subs are truly built to maximize performance in their designated size class. 
The Z Series comes standard with an oversized dry finish black composite dust cap, red logo, and treated pulp cone, but it can be optioned out with custom suspension configurations, alternative composite dust caps, composite cones, powder coated frames, and a multitude of logo options to give your sub a personalized look and/or added performance for a specific application. 

MODEL Z2.5 (ESP) 
Størrelse element 8"" 
Watts RMS 800-2500 
Peak Power 5000 
VCD 2.5 
Monteringsdybde 22,22 cm 
Anbefalt i portet kasse fra 21 til 35 liter",./images_produkt/30064.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
50034,Bluetooth / Streaming,Streaming,,,,,MOSCONI,MOSCONI AMAS-LD4C Bluetooth mottaker,"
    Bluetooth streaming av høyoppløselig lyd",MOSCONI,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=50034>,1 990.00,,"Universell Bluetooth mottaker. 
Støtter streaming av høyoppløselig lyd over Bluetooth-tilkoblinger ved 24 bit / 96 kHz. 
Siste generasjon Qualcom Bluetooth-brikke. 
Rask tilkobling og lang rekkevidde gjennom Bluetooth standard 5.0. SP Dif (optisk/Toslink) og RCA (2Vrms) utgang. 
Driftsspenning 12V (kjøretøystrøm, 7V 16V) eller 5V (Mini USB). 

BT v5.0-spesifikasjon 
Støtter A2DP 1.3 
Høyoppløselig lyd opp til 24-bit, 96 kHz 
S/P-DIF digital utgang, Toslink 
Analog utgang RCA 2 Vrms 
Digital og analog utgang kan brukes samtidig 
Høy ytelse, 112 dB SNR, lyd stereo DAC 
Intelligent dempingssystem, 120-dB dempet SNR 
Start og stopp optimalisert opp til 8 V 
Lavt energiforbruk 
Separat ekstern inngang og utgang 
USB-kontakt for bruk utenfor en bil (5 V) 

 ",./images_produkt/50034.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
30150,Bluetooth / Streaming,Streaming,,,,,,PEXMAN PM-50  Bluetooth høyttaler,"
    Bærbar høyttaler med 2x13cm bassradiatorer",,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=30150>,1 990.00,,"PEXMAN er et finsk merke, etablert av AI Group, Finlands største og mest kjente importør for bilstereo. PM-50 ble født ut av vår lidenskap for å lage en stor og høytspillende høyttaler som du kan nyte godlyden av hvor som helst! Sammenlign den gjerne med mye dyrere høyttalere fra konkurrerende merker. 


Få den høyeste, mest massive Pexman-lyden med vår kraftigste bærbare høyttaler. 

Vi har justert høyttalerens lydprofil for å få den til å høres bra og høyt ut i enhver situasjon! Treningsstudio, badstue, strand, terrasse, kjøkken, fest eller hvor som helst du vil ha det. 

PM-50 har en optimalisert driver for lange ekskursjoner, separate høyttalere med full rekkevidde og doble bassradiatorer, som alle leverer en imponerende rik og klar lyd. Få den imponerende lyden i enhver situasjon! 

En innebygd powerbank (5V/1A) lar deg lade enhetene dine uten å ta en pause fra festen! 

Skru opp moroa med TWS stereofunksjon (par to Pexman PM-50 høyttalere for å lage stereolyd) 

Ta med høyttaleren din hvor som helst. Bassengfest, strand, nedbør, snø eller til og med badstue! Pexman PM-50 er IPX5 sprutsikker og kan overleve i mange tøffe situasjoner. 

Høyttaleren har et slitesterkt bærehåndtak, så den er lett å ha med seg rundt. Håndtaket er dekorert med Pexman-logoen. 

PM-50 hadde også en kul RGB-lyseffekt på hver side av høyttaleren for å maksimere ""festeffekten"" (du kan også slå av lysene hvis du vil) 

Du kan koble til to PM-50-høyttalere for å få STEREO-lyd. I STEREO-lyd produserer begge høyttalerne lyder fra forskjellige kanaler (venstre og høyre), og gir deg et bredere lydbilde, bedre kanalseparasjon og MER LYD! 

PM-50 er en IPX5-sprutvanntett, slik at du kan ta den med på bad, badstue, strand, regn osv... 
Tenk deg en perfekt kveld med vennene dine, og du vil til badstuen eller stranden og vil høre på musikk? med PM-50 kan du! 
PM-50 har et slitesterkt bærehåndtak for enkel bæring. 
Uansett hvor du går, kommer PM-50 med deg! 

Lad PM-50 med USB-C-kabel (inkludert i pakken) 
Lytt til favorittmusikken din og syng med ved hjelp av høyttalerkaraoke-funksjonen (MIC-port). 
Lad telefonen din fra høyttalerens USB-port hvor som helst, når som helst! 
Det er også line-in-port som kobler til eksterne enheter. 
Alle koblinger er dekket med vanntett deksel. 

Dedikert bryter for TWS funksjonen 
Karaoke funksjon med inngang for kablet mikrofon 
Optimalisert Google assistent og Siri talekontroll 
Håndfri mikrofon for enkel tlf samtalekontroll 
Equalizer funksjon for dynamisk lydeffekt 
RGB lyseffekt 
AUX inngang for å koble til feks TV, nettbrett eller andre lydkilder 

SPESIFIKASJONER 

Bluetooth versjon: V5.0 
Diskant/mellomtone størrelse: 75 mm x 2 stk 
Subwoofer størrelse: 130 mm 
RMS Power: 40W 
Peak Power: 88.5W 
Batterikapasitet : 7.4V, 6600mAh 
Spilletid: opp til 18 timer* 
Frekvensresponse: 50Hz-15kHz 
Bluetooth rekkevidde: 10m 
Produktstørrelse: 452(L) *182(B) * 234 (H) mm 
 

Innhold i pakken: 1 x Bærbar Bluetooth høyttaler, 1 x ladekabel ( USB-C -),1 x Audiokabel, 1 x Brukermanual",./images_produkt/30150.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
16256,Biltilpasset,VW,,,,,,FOCAL VW ID.4 TWIN SUB pakke - NY!,"
     ",,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=16256>,11 990.00,,"Komplett plug and play oppgradering av alle høyttalere pluss en subkasse under førersete og en under og front passasjer sete. Leveres med forsterker, høyttalere og alt av kabeloverganger.",./images_produkt/16256.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
17755,Basspakker,Ground Zero,,,,,Ground Zero,Ground Zero Dobbel 12" Basspakke SPL- NY!,"
    2x12"" SPL basskasse + forsterker + kabler",Ground Zero,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=17755>,9 990.00,,"
 

Dette er en meget kraftig basspakke. Den digre basskassen har 2 sk av SPL monsteret GZIW 12XSPL boltet fast og dette drives av den splitter nye Competition forsterkeren GZCA1500.M2 som leverer solide 1400 ekte watt. Resultatet er voldsomt. Dette spiller veldig kraftfult bra de dypeset tonene opp til de harde slagene som du kjenner slår deg på kroppen. Bassene er designet med Klippel-optimalisering for å presse ut hver eneste desibel som er mulig å få. Svingspolekjølingen er svært effektiv og høy slaglengde gir deg MYE bass. Veldig lineær impedanskurve gjør det mulig å virkelig trekke ut all kraften fra forsterkeren til disse subwooferne. 

 

Ground Zero GZIB 2.12SPL 

2x12"" basskasse i massiv MDF 
2000W SPL Power/1000W RMS (anbefalt RMS effekt: 600-1400W) 
Impedans 4 x 2 ohm (kobles til 1 x 2 Ohm) 
63mm svingspoler 
Dobbel Polycot spider 
Slisseport i front med hornlading 
Optimalisert med KLIPPEL 
Beskyttelsesgrill i metall 
nettovolum: 90 liter 
Fysiske mål: b x h x d: 840 x 400 x 430 / 310 mm 

 


GROUND ZERO GZCA 1500.M2 

Type : Klasse D Fulltone 
Effekt CEA 2006 standard: 
RMS Effekt @13,8V 4Ohm: 1 x 825WRMS Effekt @13,8V 2Ohm: 1 x 1400WMaks Effekt @13,8V 2Ohm: 1 x 1900WLED indikator for driftstatus 
LED indikator for clipping (forvrenging) 
LED indikator for beskyttelsekretser 
Beskyttelsekrets for varme, kortslutning og overbelastning 
Frekvensrespons : 10 Hz - 22 kHz (+/-3dB) 
Signal/støy forhold > 90dB 
Lavpassfilter 80 Hz - 22 KHz 
Høypass/subsonisk filter 15 - 80 Hz 
Justerbar bassboost 0 - 12 dB 
Bass boost frekvens justerbar fra 35 til 70 Hz 
Operasjonsspenning 170mV - 10 Volt 
THD : 0.05% 
Dempingsfaktor > > 100 
Anbefalt minimum 4mm2 høyttalerkabler 
Anbefalt minimum 35mm2 strømkabler 
Gul Ground Zero logo 
 
Fysiske mål (BxHxL) : 230 x 67 x 118/142 mm 

 
 
5,2 meter meget fleksibel 35mm² gul strømkabel 
0,8 meter meget fleksibel 35mm² sort jordingskabel 
5 meter RCA kabel trippelskjermet med remote 
Mini sikringsholder med 200 ampere sikring 
Diverse tilbehør, kabelsko 

",./images_produkt/17755.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
17754,Basspakker,Ground Zero,,,,,Ground Zero,Ground Zero Trippel 10" Basspakke - NY!,"
    3x10"" basskasse + forsterker + kabler",Ground Zero,,,<200 https://www.iceaudio.no/index.php?func=varer&vnr=17754>,8 990.00,,"
 

Trippel 10"" basspakke som har høy lydkvalitet og rikelig med lydtrykk. Basskassen har hele 3 stk overdimensjonerte 10 tommere montert i et meget solid trykkammer av massiv 25mm MDF. Dette spiller meget kontrollert, stramt, punchy og samtidig skikkelig dypt. Fungerer til det meste av musikk. Forsterkeren er hele 1300W RMS og driver denne bassekassen med glans. Den har også høynivåinngang og egen fjenkontroll for bassnivået slik at også de med spillere uten linjeutgang kan få optimalt resultat. 

BASSKASSE 
3x10"" i massivt kabinett av 25mm MDF 
Trykkammer kabinett 
2100W SPL Power 
1500W RMS 
impedans 1,4 ohm 
Dobbel Polycot spider 
63mm svingspole 
Frekvensområde 30-200Hz 
Klippel® optimalisert 
Fysiske mål: b x h x d: 83 x 34 x 32/24 cm 

FORSTERKER 
1 kanals klasse D effektforsterker med delefilter.Auto power on ved bruk av høynivå inngangene. Trenger da ikke styrestrøm / remote 
Lavpass filter 30-250Hz trinnløst justerbart 12dB.Bassboost 0 - 12dB (45Hz) 
Effekt CEA 2006 standard: 
RMS Effekt @13,8V 4Ohm: 1 x 425WRMS Effekt @13,8V 2Ohm: 1 x 775WRMS Effekt @13,8V 1Ohm: 1 x 1300WFrekvensrespons 5 - 250Hz 
Faseskift 0 - 180 grader 
Forsinket påslag for støyfri oppstart 
Beskyttelseskretser mot varmgang, kortslutning og overbelastning 
3 x 40A sikringer (internt)Gul Ground Zero logo 
 
Mål (H x B x L): 49mm x 192mm x 360mm 
 

KABELSETT 
5,2 meter meget fleksibel 35mm² gul strømkabel 
0,8 meter meget fleksibel 35mm² sort jordingskabel 
5 meter RCA kabel trippelskjermet med remote 
Mini sikringsholder med 200 ampere sikring 
Diverse tilbehør, kabelsko 

",./images_produkt/17754.jpg,,,,,,,,,,,,,,,,,www.iceaudio.no
