product Id,Main Category,Category 1,Category 2,Category 3,Category 4,Category 5,Product Brand,Product Name,Product Information,Car Brand,Car Model,Car Years,url,Main Price,Discount Price,product Discription,file pdf,source,Picture 1,Picture 2,Picture 3,Picture 4,Picture 5,Picture 6,Picture 7,Picture 8,Picture 9,Picture 10,Picture 11,Picture 12,Picture 13,Picture 14,Picture 15,Picture 16,Picture 17
4-690719,Nye produkter,,,,,,4 Connect,"4 CONNECT kabelendehylse 70mm2, 5 pakning",,,,,https://www.iceaudio.no/index.php?func=varer&vnr=4-690719,62.00,,"<ul>
<li>Beskytter kabelen slik at tråder ikke blir kuttet når ledningen strammes til terminalen. Holder trådene i tett pakke slik at kabelen er enklere å installere. Denne kabelendehylsen er for 70 mm2 kabel. Pakken inkluderer 5 stykk hylser.</li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/4-690719-1.jpg,,,,,,,,,,,,,,,,
4-690717,Nye produkter,,,,,,4 Connect,"4 CONNECT kabelendehylse 35mm2, 5 pakning",,,,,https://www.iceaudio.no/index.php?func=varer&vnr=4-690717,40.00,,"<ul>
<li>Beskytter kabelen slik at tråder ikke blir kuttet når ledningen strammes til terminalen. Holder trådene i tett pakke slik at kabelen er enklere å installere. Denne kabelendehylsen er for 35 mm2 kabel. Pakken inkluderer 5 stykk hylser.</li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/4-690717-1.jpg,,,,,,,,,,,,,,,,
17449,Basser,Rekoning,,,,,Ground Zero,Ground Zero rekoningskit til GZPW 18SPL+20%,,,,,https://www.iceaudio.no/index.php?func=varer&vnr=17449,7 500.00,,"<ul>
<li>sett med: 
</li><li>Støvhette 
</li><li>Spider/svingspole 
</li><li>Membran/oppheng 
<br>
	<br>
	<br>
<img alt="""" src=""/images/GZheader.jpg""> 
<br>
<br>
<br>
	<font size=""1"">
	Alle priser ink.mva
</font></li></ul>",,www.iceaudio.no,,,,,,,,,,,,,,,,,
17755,Kampanjer/Tilbud,Kampanje,,,,,Ground Zero,"Ground Zero Dobbel 12"" Basspakke SPL","2x12"" SPL basskasse + forsterker + kabler",,,,https://www.iceaudio.no/index.php?func=varer&vnr=17755,9 990.00,,"<ul>
<li>
</li><li><em><strong>Kampanje - førpris 10.270,-</strong></em> 
</li><li>
</li><li>Dette er en meget kraftig basspakke. Den digre basskassen har 2 sk av SPL monsteret GZIW 12XSPL boltet fast og dette drives av den splitter nye Competition forsterkeren GZCA1500.M2 som leverer solide 1400 ekte watt. Resultatet er voldsomt. Dette spiller veldig kraftfult bra de dypeset tonene opp til de harde slagene som du kjenner slår deg på kroppen. Bassene er designet med Klippel-optimalisering for å presse ut hver eneste desibel som er mulig å få. Svingspolekjølingen er svært effektiv og høy slaglengde gir deg MYE bass. Veldig lineær impedanskurve gjør det mulig å virkelig trekke ut all kraften fra forsterkeren til disse subwooferne. 
</li><li>
</li><li><strong>BASSKASSE</strong> 
</li><li>
</li><li>Ground Zero GZIB 2.12SPL 
</li><li>
</li><li>2x12"" basskasse i massiv MDF 
</li><li>2000W SPL Power/1000W RMS (anbefalt RMS effekt: 600-1400W) 
</li><li>Impedans 4 x 2 ohm (kobles til 1 x 2 Ohm) 
</li><li>63mm svingspoler 
</li><li>Dobbel Polycot spider 
</li><li>Slisseport i front med hornlading 
</li><li>Optimalisert med KLIPPEL 
</li><li>Beskyttelsesgrill i metall 
</li><li>nettovolum: 90 liter 
</li><li>Fysiske mål: b x h x d: 840 x 400 x 430 / 310 mm 
</li><li>
</li><li><a href=""https://www.ground-zero-audio.com/wp-content/uploads/GZIB-2.12SPL_OM_AWV2.0.pdf"">Brukermanual PDF</a> </li>
<li>
</li><li><strong>FORSTERKER </strong>
</li><li>
</li><li>GROUND ZERO GZCA 1500.M2 
</li><li>
</li><li>Type : Klasse D Fulltone 
</li><li>Effekt CEA 2006 standard: 
</li><li>RMS Effekt @13,8V 4Ohm: 1 x 825W</li>
<li>RMS Effekt @13,8V 2Ohm: 1 x 1400W</li>
<li>Maks Effekt @13,8V 2Ohm: 1 x 1900W</li>
<li>LED indikator for driftstatus 
</li><li>LED indikator for clipping (forvrenging) 
</li><li>LED indikator for beskyttelsekretser 
</li><li>Beskyttelsekrets for varme, kortslutning og overbelastning 
</li><li>Frekvensrespons : 10 Hz - 22 kHz (+/-3dB) 
</li><li>Signal/støy forhold &gt; 90dB 
</li><li>Lavpassfilter 80 Hz - 22 KHz 
</li><li>Høypass/subsonisk filter 15 - 80 Hz 
</li><li>Justerbar bassboost 0 - 12 dB 
</li><li>Bass boost frekvens justerbar fra 35 til 70 Hz 
</li><li>Operasjonsspenning 170mV - 10 Volt 
</li><li>THD : 0.05% 
</li><li>Dempingsfaktor &gt; &gt; 100 
</li><li>Anbefalt minimum 4mm2 høyttalerkabler 
</li><li>Anbefalt minimum 35mm2 strømkabler 
</li><li>Gul Ground Zero logo 
</li><li><strong>Fjernkontroll med 5 meter kabel for dashbordmontering inkludert</strong> 
</li><li>Fysiske mål (BxHxL) : 230 x 67 x 118/142 mm 
</li><li>
</li><li><a href=""https://www.ground-zero-audio.com/wp-content/uploads/GZCA-1500.M2_OM_AWV2.1.pdf"">Brukermanual PDF</a> </li>
<li>
</li><li><strong>KABELSETT</strong> 
</li><li>5,2 meter meget fleksibel 35mm² gul strømkabel 
</li><li>0,8 meter meget fleksibel 35mm² sort jordingskabel 
</li><li>5 meter RCA kabel trippelskjermet med remote 
</li><li>Mini sikringsholder med 200 ampere sikring 
</li><li>Diverse tilbehør, kabelsko 
</li><li>
</li><li><strong>pakken inneholder varenummer 17705 - 17746 - 17103 - 3 meter 4.0mm2</strong></li>
<ul></ul></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/17755-1.jpg,,,,,,,,,,,,,,,,
50189,Prosessor/DSP,Prosessor/DSP,,,,,Gladen,GLADEN BARNIE målesystem med 2 mikrofoner og stativ - NY!,German Technology,,,,https://www.iceaudio.no/index.php?func=varer&vnr=50189,9 990.00,,"<ul>
<li>Binauralt målesystem BARNIE (<strong>B</strong>inaural <strong>A</strong>udio <strong>R</strong>ecord <strong>N</strong>on <strong>I</strong>nterference <strong>E</strong>laborate) 
</li><li>
</li><li>I løpet av bare fire år har MOSCONI PICO DSP- og PRO DSP-forsterkerne blitt en av de best testede og bedømte bilstereoforsterkerne over hele verden og gjort GLADEN/MOSCONI til en av de ledende high-end bilstereoprodusentene i Tyskland. Basert på våre tjue år med kunnskap innen design og bygging av førsteklasses forsterker- og DSP-produkter, ble Prosjekt BARNIE født i 2022 for å optimalisere lyden og de tekniske egenskapene til DSP-innstillingene i kjøretøyet med et revolusjonerende konsept. 
</li><li>
</li><li>Lansert våren 2023, representerer BARNIE en revolusjon når det gjelder kalibreringssystem på hele bilhifi-markedet. I kombinasjon med et MOSCONI DSP-produkt kan perfekte lydresultater realiseres. Det akustiske målehodet er utstyrt med utvalgte og kalibrerte mikrofoner og skaper dermed de akustiske forholdene som også definerer en musikklytter i kjøretøyet. På grunn av den naturlige plasseringen av mikrofonene i målehodet og en spesialutviklet programvarelogaritme, er BARNIE ikke bare i stand til å perfekt analysere og uavhengig korrigere en frekvensrespons, den justerer også forsinkelsesforskjellene og faseoppførselen til de enkelte høyttalerne. 
</li><li>
</li><li>Dette fører til en helt naturlig og helt autentisk musikkgjengivelse av ditt HiFi-anlegg, som ikke kan realiseres med justeringer av andre målesystemer. 
</li><li>
</li><li>Opplev en ny dimensjon av musikkgjengivelse i bilen din. 
</li><li>
</li><li>Din GLADEN/MOSCONI forhandler ser frem til ditt besøk for å skape en uforlignelig musikkopplevelse med BARNIE også hos deg. 
</li><li>
</li><li>Målehode med stativ 
</li><li>Mikrofoner med høy oppløsning 
</li><li>Stativ for plassering i bil 
</li><li>USB minnepenn med fil for kalibrering 
</li><li>Bruksanvisning medfølger på minnepenn 
</li><li>Forlengelseskabler 
</li><li>
</li><li><a href=""https://www.facebook.com/GladenAudio/videos/590226342689794"">VIDEO FACEBOOK</a> </li></ul>",http://iceaudio.no/images_produkt/montering/50189-BARNIE Manual.pdf,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/50189-7.jpg,http://iceaudio.no/images_produkt/storebilder/50189-10.jpg,http://iceaudio.no/images_produkt/storebilder/50189-9.jpg,http://iceaudio.no/images_produkt/storebilder/50189-8.jpg,http://iceaudio.no/images_produkt/storebilder/50189-6.jpg,http://iceaudio.no/images_produkt/storebilder/50189-5.jpg,http://iceaudio.no/images_produkt/storebilder/50189-2.jpg,http://iceaudio.no/images_produkt/storebilder/50189-3.jpg,http://iceaudio.no/images_produkt/storebilder/50189-4.jpg,,,,,,,,
17093,Kondensatorer,Kondensatorer,,,,,Ground Zero,Ground Zero GZTC 1.0FX Digital topp,Titanium 1.0 F kondensator,,,,https://www.iceaudio.no/index.php?func=varer&vnr=17093,995.00,,"<ul>
<li>20 volt surge 
</li><li>Indre motstand &lt; 0,002 ohm 
</li><li>Voltmeter 
</li><li>Inkludert festebraketter </li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/17093-GZ_1.jpg,,,,,,,,,,,,,,,,
50008,Prosessor/DSP,Prosessor/DSP,,,,,MOSCONI,MOSCONI DSP 8TO12 AEROSPACE,,,,,https://www.iceaudio.no/index.php?func=varer&vnr=50008,9 990.00,,"<ul>
<li><a href=""https://www.gladen.com/en-us/mosconi/mosconi-dsp/mosconi-dsp-8to12-aerospace"">NETTSIDE PRODUSENT</a> </li>
<li>
</li><li>Allerede i 2009, da bilstereo fortsatt stort sett var analog, satte Henning Gladen (†) i gang utviklingen av en digital signalprosessor (DSP) hos MOSCONI. 
</li><li>Det ble raskt klart: I den digitale verden, hvor komplekse algoritmer beregner mange sifre etter desimaltegnet, kan Hennings og MOSCONIs høye standarder bare oppnås med ekstrem presisjon. 
</li><li>Tid betyr ikke bare mer enn 12 års erfaring, nøyaktig håndtering av tid er også avgjørende for resultatet og kvaliteten på en DSP. Tiden tillater ingen toleranse, fordi frekvensen ikke er omsettelig. 
</li><li>Målet ble nådd med et samarbeid mellom de beste: Den analoge kompetansen til MOSCONI, den tyske ingeniørkunsten på det digitale feltet, og ekspertisen til leverandørene Texas Instrument, Analog Devices og Microchip. 
</li><li>Med paragrafisk EQ og signalstyrt mikser, ukjent på den tiden, ble allerede den første MOSCONI DSP (6to8) en milepæl. 
</li><li>Kontinuerlig forskning og utvikling førte til verdensomspennende unike funksjoner som dISC (dynamisk filter), Pha°C (fasemåling og korreksjon) og PTC (Pilot Tone Control) - i dag de avgjørende verktøyene i moderne kjøretøy!</li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/50008-Made_in_italy_neu-ee172ef5.jpg,http://iceaudio.no/images_produkt/storebilder/50008-3.jpg,http://iceaudio.no/images_produkt/storebilder/50008-4.jpg,http://iceaudio.no/images_produkt/storebilder/50008-5.jpg,http://iceaudio.no/images_produkt/storebilder/50008-2.jpg,http://iceaudio.no/images_produkt/storebilder/50008-1.jpg,http://iceaudio.no/images_produkt/storebilder/50008-6.jpg,http://iceaudio.no/images_produkt/storebilder/50008-9.jpg,http://iceaudio.no/images_produkt/storebilder/50008-7.jpg,,,,,,,,
50170,Plug and Play,Tilbehør P&P,,,,,Gladen,GLADEN TESLA S og X kabelsett Premium Audio,Plug and Play oppgradering,,,,https://www.iceaudio.no/index.php?func=varer&vnr=50170,3 290.00,,"<ul>
<li>VARENAVN: BXMWKTESXPMM
</li><li>
</li><li>Kabelsett for å koble til en MOSCONI PICO forsterker

<br>
	<br>
	<br>
	<font size=""1"">
	Alle priser ink.mva
</font></li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/50170-1.jpg,,,,,,,,,,,,,,,,
50169,Plug and Play,Tilbehør P&P,,,,,Gladen,GLADEN TESLA S kabelsett Base Audio,Plug and Play oppgradering,,,,https://www.iceaudio.no/index.php?func=varer&vnr=50169,2 190.00,,"<ul>
<li>VARENAVN: BXMWKTESBMM
</li><li>
</li><li>Kabelsett for å koble til en MOSCONI PICO forsterker </li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/50169-1.jpg,,,,,,,,,,,,,,,,
4-HPHE-SHOP,Tilbehør,Verkstedmateriell,,,,,FOUR Connect,"FOUR Connect 4-HPHE SHOP teppe SØLV 1,36mx2,1m",Testvinner Auto-lyd 4-5 / 2014,,,,https://www.iceaudio.no/index.php?func=varer&vnr=4-HPHE-SHOP,350.00,,"<ul>
<li>Testvinner Auto-lyd 4-5 / 2014. Meget elastisk svart teppe for installasjonspaneler og basskasser. Laget i USA. Utdrag fra testen: 4CARPET teppe sies å være et uforlignelig produkt som selges i ferdig lengde i mellomstore pakker. Teppet er av en tykkere type og det er fint og dekkende, men samtidig veldig tøybart. Det er veldig enkelt å skjære med en tapetkniv. Den er tilgjengelig i tre fargealternativer svart, grå svart og sølv.<br>
	<br>
	<br>
	<font size=""1"">
	Alle priser ink.mva
</font></li></ul>",,www.iceaudio.no,http://iceaudio.no/images_produkt/storebilder/4-HPHE-SHOP-1.jpg,,,,,,,,,,,,,,,,
